id,subscription_type,m_revenue,join_date,last_payment,country,age,gender,device_type,plan_duration
1,Premium,17,25-08-22,10-05-23,Spain,49,Female,Laptop,1 Month
2,Basic,11,10-01-23,20-06-23,United Kingdom,32,Male,Tablet,1 Month
3,Basic,12,02-03-22,27-02-23,Brazil,46,Female,Smart TV,1 Month
4,Premium,17,22-12-21,25-03-22,United States,35,Male,Tablet,1 Month
5,Standard,11,01-06-23,13-07-23,Italy,44,Female,Smart TV,1 Month
6,Premium,15,04-11-22,18-04-23,Australia,37,Male,Smartphone,1 Month
7,Premium,15,27-02-23,14-07-23,Australia,46,Female,Smartphone,1 Month
8,Basic,9,19-01-22,19-10-22,United States,27,Male,Laptop,1 Month
9,Standard,12,12-02-23,05-07-23,Spain,43,Male,Smart TV,1 Month
10,Standard,11,30-05-22,03-05-23,Spain,46,Male,Laptop,1 Month
11,Premium,16,06-01-22,09-10-22,Mexico,41,Male,Smart TV,1 Month
12,Premium,16,07-09-22,03-11-22,Germany,36,Female,Smartphone,1 Month
13,Basic,13,13-10-22,10-03-23,United States,28,Female,Smart TV,1 Month
14,Basic,13,30-07-22,15-03-23,Spain,27,Male,Tablet,1 Month
15,Standard,15,16-05-22,19-02-23,Brazil,49,Female,Laptop,1 Month
16,Basic,10,12-06-23,25-06-23,Italy,28,Female,Tablet,1 Month
17,Premium,16,15-06-23,03-07-23,Canada,37,Female,Smart TV,1 Month
18,Premium,16,27-09-21,21-06-22,Spain,46,Male,Smart TV,1 Month
19,Premium,17,20-12-22,13-02-23,United States,36,Male,Smartphone,1 Month
20,Basic,12,10-04-23,03-07-23,United Kingdom,30,Male,Laptop,1 Month
21,Standard,11,08-06-23,21-06-23,Canada,48,Male,Tablet,1 Month
22,Basic,11,27-10-21,10-04-22,Australia,40,Female,Smartphone,1 Month
23,Standard,11,24-09-22,02-06-23,Italy,32,Male,Laptop,1 Month
24,Basic,10,21-02-22,14-10-22,Canada,51,Female,Smart TV,1 Month
25,Standard,13,20-06-22,09-01-23,United Kingdom,36,Female,Smart TV,1 Month
26,Standard,14,11-09-22,30-06-23,Spain,38,Female,Tablet,1 Month
27,Basic,10,25-06-23,27-06-23,Australia,34,Female,Smart TV,1 Month
28,Standard,12,21-01-23,18-06-23,United Kingdom,44,Female,Smartphone,1 Month
29,Basic,10,16-09-21,21-12-21,United Kingdom,36,Male,Tablet,1 Month
30,Basic,10,27-03-23,08-07-23,Spain,51,Female,Smartphone,1 Month
31,Standard,11,14-04-23,20-06-23,Canada,48,Female,Tablet,1 Month
32,Basic,11,15-11-21,04-03-22,Canada,41,Male,Laptop,1 Month
33,Basic,10,06-02-22,21-09-22,Spain,44,Male,Tablet,1 Month
34,Basic,9,21-01-22,22-11-22,France,40,Male,Laptop,1 Month
35,Standard,14,28-06-23,09-07-23,France,36,Male,Laptop,1 Month
36,Premium,18,01-02-22,18-07-22,United States,36,Female,Smartphone,1 Month
37,Basic,10,09-01-23,22-06-23,United States,34,Female,Smartphone,1 Month
38,Standard,14,19-07-22,18-02-23,Spain,39,Female,Smart TV,1 Month
39,Basic,10,17-05-23,30-06-23,Brazil,33,Male,Tablet,1 Month
40,Standard,12,19-12-22,18-03-23,Brazil,27,Male,Smart TV,1 Month
41,Premium,17,27-04-22,24-04-23,Spain,34,Male,Laptop,1 Month
42,Basic,9,01-08-22,02-10-22,Germany,47,Male,Tablet,1 Month
43,Basic,12,30-01-22,26-12-22,Australia,33,Male,Tablet,1 Month
44,Premium,17,22-11-22,07-02-23,United States,27,Female,Smart TV,1 Month
45,Standard,14,04-02-23,26-06-23,France,43,Female,Laptop,1 Month
46,Basic,9,26-08-22,20-06-23,United Kingdom,45,Male,Smart TV,1 Month
47,Standard,14,10-01-23,03-07-23,Brazil,44,Male,Laptop,1 Month
48,Basic,12,13-07-22,15-12-22,Australia,36,Female,Smart TV,1 Month
49,Premium,14,12-10-22,24-06-23,United States,30,Female,Tablet,1 Month
50,Standard,13,19-03-22,24-10-22,Italy,36,Female,Smartphone,1 Month
51,Standard,13,06-09-21,11-11-21,France,28,Male,Smartphone,1 Month
52,Standard,15,07-05-22,01-11-22,Canada,34,Male,Laptop,1 Month
53,Premium,14,18-02-22,17-10-22,Germany,27,Male,Laptop,1 Month
54,Basic,9,14-03-23,15-07-23,Canada,40,Male,Tablet,1 Month
55,Premium,17,27-02-23,01-07-23,Italy,27,Male,Tablet,1 Month
56,Standard,11,31-05-23,23-06-23,Brazil,47,Male,Laptop,1 Month
57,Premium,14,16-01-23,11-07-23,Italy,40,Female,Laptop,1 Month
58,Basic,13,09-10-22,27-01-23,Spain,31,Male,Smart TV,1 Month
59,Basic,9,01-06-22,27-06-22,Canada,41,Male,Smartphone,1 Month
